 INFO  Accepting connections at http://localhost:4173
 HTTP  29/05/2026 09:02:04 ::1 GET /
 HTTP  29/05/2026 09:02:04 ::1 Returned 200 in 29 ms
 HTTP  29/05/2026 09:02:10 ::1 GET /
 HTTP  29/05/2026 09:02:10 ::1 Returned 200 in 7 ms
 HTTP  29/05/2026 09:02:10 ::1 GET /_next/static/media/70bc3e132a0a741e-s.p.1409xf.ylxg8g.woff2
 HTTP  29/05/2026 09:02:10 ::1 GET /_next/static/media/83afe278b6a6bb3c-s.p.0q-301v4kxxnr.woff2
 HTTP  29/05/2026 09:02:10 ::1 GET /_next/static/chunks/0i9eq4ygg5v6i.css
 HTTP  29/05/2026 09:02:10 ::1 Returned 200 in 15 ms
 HTTP  29/05/2026 09:02:10 ::1 Returned 200 in 13 ms
 HTTP  29/05/2026 09:02:10 ::1 Returned 200 in 13 ms
 HTTP  29/05/2026 09:02:10 ::1 GET /logo.png
 HTTP  29/05/2026 09:02:10 ::1 GET /_next/static/chunks/045g~0~zva_mv.js
 HTTP  29/05/2026 09:02:10 ::1 GET /_next/static/chunks/0dgq26a5_oy.a.js
 HTTP  29/05/2026 09:02:10 ::1 GET /_next/static/chunks/0njj.aq0r8e06.js
 HTTP  29/05/2026 09:02:10 ::1 GET /_next/static/chunks/10u3y4bw1ayzs.js
 HTTP  29/05/2026 09:02:10 ::1 GET /_next/static/chunks/turbopack-07f-ebtj4v-88.js
 HTTP  29/05/2026 09:02:10 ::1 Returned 200 in 17 ms
 HTTP  29/05/2026 09:02:10 ::1 Returned 200 in 19 ms
 HTTP  29/05/2026 09:02:10 ::1 Returned 200 in 15 ms
 HTTP  29/05/2026 09:02:10 ::1 Returned 200 in 20 ms
 HTTP  29/05/2026 09:02:10 ::1 Returned 200 in 21 ms
 HTTP  29/05/2026 09:02:10 ::1 Returned 200 in 59 ms
 HTTP  29/05/2026 09:02:11 ::1 GET /_next/static/chunks/01xlw8hd842-c.js
 HTTP  29/05/2026 09:02:11 ::1 Returned 200 in 8 ms
 HTTP  29/05/2026 09:02:11 ::1 GET /_next/static/chunks/0d3shmwh5_nmn.js
 HTTP  29/05/2026 09:02:11 ::1 GET /_next/static/chunks/10in5aw-kpnw5.js
 HTTP  29/05/2026 09:02:11 ::1 Returned 200 in 8 ms
 HTTP  29/05/2026 09:02:11 ::1 Returned 200 in 8 ms
 HTTP  29/05/2026 09:02:11 ::1 HEAD /register/
 HTTP  29/05/2026 09:02:11 ::1 HEAD /feed/
 HTTP  29/05/2026 09:02:11 ::1 HEAD /login/
 HTTP  29/05/2026 09:02:11 ::1 Returned 200 in 8 ms
 HTTP  29/05/2026 09:02:11 ::1 Returned 200 in 6 ms
 HTTP  29/05/2026 09:02:11 ::1 Returned 200 in 11 ms
 HTTP  29/05/2026 09:02:11 ::1 GET /__next._head.txt?_rsc=7h4NYy5eoyMcNlUN
 HTTP  29/05/2026 09:02:11 ::1 GET /__next._index.txt?_rsc=yIp22O3xgPPxC28X
 HTTP  29/05/2026 09:02:11 ::1 GET /register/__next._tree.txt?_rsc=5CB68i4pnAekjehf
 HTTP  29/05/2026 09:02:11 ::1 Returned 200 in 6 ms
 HTTP  29/05/2026 09:02:11 ::1 Returned 200 in 6 ms
 HTTP  29/05/2026 09:02:11 ::1 Returned 200 in 5 ms
 HTTP  29/05/2026 09:02:11 ::1 GET /login/__next._tree.txt?_rsc=5CB68i4pnAekjehf
 HTTP  29/05/2026 09:02:11 ::1 GET /feed/__next._tree.txt?_rsc=5CB68i4pnAekjehf
 HTTP  29/05/2026 09:02:11 ::1 Returned 200 in 2 ms
 HTTP  29/05/2026 09:02:11 ::1 Returned 200 in 5 ms
 HTTP  29/05/2026 09:02:11 ::1 GET /register/__next._head.txt?_rsc=7h4NYy5eoyMcNlUN
 HTTP  29/05/2026 09:02:11 ::1 Returned 200 in 2 ms
 HTTP  29/05/2026 09:02:11 ::1 GET /register/__next.!KGF1dGgp.txt?_rsc=fGJn87jYv0bW619I
 HTTP  29/05/2026 09:02:11 ::1 GET /register/__next.!KGF1dGgp.register.txt?_rsc=bGGR2Yrv0BbdJE4l
 HTTP  29/05/2026 09:02:11 ::1 Returned 200 in 4 ms
 HTTP  29/05/2026 09:02:11 ::1 GET /register/__next.!KGF1dGgp.register.__PAGE__.txt?_rsc=u_bty1QrfRAXweeL
 HTTP  29/05/2026 09:02:11 ::1 Returned 404 in 8 ms
 HTTP  29/05/2026 09:02:11 ::1 Returned 404 in 4 ms
